

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
031.829  000.087  000.087: require('nvim-treesitter.caching')
031.839  002.488  000.232: require('nvim-treesitter.query')
031.852  002.791  000.303: require('nvim-treesitter.configs')
032.595  000.130  000.130: require('nvim-treesitter.info')
032.775  000.178  000.178: require('nvim-treesitter.shell_command_selectors')
032.794  000.899  000.592: require('nvim-treesitter.install')
034.677  000.875  000.875: require('vim.diagnostic')
034.939  000.062  000.062: require('mason-core.path')
034.947  000.132  000.070: require('mason.settings')
035.283  000.177  000.177: require('mason-core.functional')
035.480  000.055  000.055: require('mason-core.functional.data')
035.495  000.197  000.142: require('mason-core.functional.function')
035.573  000.068  000.068: require('mason-core.functional.relation')
035.668  000.080  000.080: require('mason-core.functional.logic')
035.698  000.750  000.228: require('mason-core.platform')
035.700  000.944  000.062: require('mason')
036.140  000.220  000.220: require('mason-core.functional.list')
036.163  000.449  000.229: require('mason.api.command')
036.490  000.162  000.162: require('mason-core.log')
036.493  000.320  000.159: require('mason-lspconfig')
036.534  000.039  000.039: require('mason-lspconfig.settings')
036.652  000.036  000.036: require('mason-core.notify')
036.655  000.115  000.079: require('mason-lspconfig.lspconfig_hook')
038.086  000.143  000.143: require('vim.lsp.log')
038.562  000.474  000.474: require('vim.lsp.protocol')
039.562  000.241  000.241: require('vim.lsp._snippet')
039.693  000.129  000.129: require('vim.highlight')
039.704  001.139  000.770: require('vim.lsp.util')
039.716  002.042  000.286: require('vim.lsp.handlers')
040.035  000.317  000.317: require('vim.lsp.rpc')
040.203  000.167  000.167: require('vim.lsp.sync')
040.601  000.396  000.396: require('vim.lsp.buf')
040.743  000.140  000.140: require('vim.lsp.diagnostic')
040.907  000.162  000.162: require('vim.lsp.codelens')
040.931  004.011  000.787: require('vim.lsp')
040.973  004.317  000.306: require('lspconfig.util')
041.121  000.067  000.067: require('mason-core.functional.table')
041.159  000.184  000.117: require('mason-lspconfig.mappings.server')
041.445  000.123  000.123: require('mason-core.async')
041.486  000.039  000.039: require('mason-core.async.uv')
041.489  000.256  000.094: require('mason-core.fs')
041.554  000.063  000.063: require('mason-core.optional')
041.610  000.055  000.055: require('mason-core.EventEmitter')
041.747  000.136  000.136: require('mason-registry.index')
041.754  000.594  000.084: require('mason-registry')
041.788  000.032  000.032: require('mason-lspconfig.server_config_extensions')
041.962  000.173  000.173: require('lspconfig.configs')
042.047  000.083  000.083: require('lspconfig.server_configurations.omnisharp')
042.161  000.057  000.057: require('mason-lspconfig.ensure_installed')
042.505  000.098  000.098: require('mason-core.result')
042.894  000.142  000.142: require('mason-core.process')
042.961  000.297  000.155: require('mason-core.spawn')
043.060  000.097  000.097: require('mason-core.receipt')
043.146  000.081  000.081: require('mason-core.functional.string')
043.156  000.649  000.173: require('mason-core.installer.context')
043.226  000.069  000.069: require('mason-core.installer.linker')
043.289  000.062  000.062: require('mason-core.async.control')
043.293  001.008  000.131: require('mason-core.installer')
043.420  000.126  000.126: require('mason-core.installer.handle')
043.814  000.079  000.079: require('mason-core.managers.powershell')
043.817  000.169  000.090: require('mason-core.fetch')
043.818  000.208  000.039: require('mason-core.managers.cargo.client')
044.047  000.115  000.115: require('mason-core.managers.std')
044.191  000.062  000.062: require('mason-core.providers')
044.198  000.149  000.087: require('mason-core.managers.github.client')
044.201  000.383  000.118: require('mason-core.managers.github')
044.217  000.730  000.139: require('mason-core.managers.cargo')
044.317  000.099  000.099: require('mason-core.managers.composer')
044.463  000.145  000.145: require('mason-core.managers.gem')
044.540  000.074  000.074: require('mason-core.managers.git')
044.697  000.155  000.155: require('mason-core.managers.go')
044.813  000.114  000.114: require('mason-core.managers.luarocks')
044.917  000.102  000.102: require('mason-core.managers.npm')
045.047  000.128  000.128: require('mason-core.managers.pip3')
045.050  001.628  000.080: require('mason-core.package.version-check')
045.054  002.891  000.129: require('mason-core.package')
045.155  000.096  000.096: require('mason-registry.clangd')
045.310  000.074  000.074: require('mason-registry.pyright')
045.369  000.049  000.049: require('mason-registry.typescript-language-server')
045.444  000.063  000.063: require('mason-registry.lua-language-server')
045.554  000.104  000.104: require('mason-registry.gopls')
045.726  000.047  000.047: require('mason-core.functional.number')
045.741  000.177  000.130: require('mason-lspconfig.api.command')
045.977  000.076  000.076: require('cmp_nvim_lsp.source')
045.981  000.160  000.084: require('cmp_nvim_lsp')
046.039  000.056  000.056: require('lspconfig')
046.110  000.069  000.069: require('lspconfig.server_configurations.clangd')
046.512  000.073  000.073: require('lspconfig.server_configurations.pyright')
046.792  000.062  000.062: require('lspconfig.server_configurations.tsserver')
047.007  000.070  000.070: require('lspconfig.server_configurations.sumneko_lua')
047.261  000.051  000.051: require('lspconfig.server_configurations.gopls')
047.762  000.121  000.121: require('fidget.log')
047.767  000.370  000.249: require('fidget')
047.851  000.078  000.078: require('fidget.spinners')
048.640  000.048  000.048: require('cmp.utils.debug')
048.855  000.100  000.100: require('cmp.utils.char')
048.860  000.218  000.118: require('cmp.utils.str')
048.913  000.052  000.052: require('cmp.utils.pattern')
049.302  000.138  000.138: require('cmp.utils.misc')
049.364  000.060  000.060: require('cmp.utils.buffer')
049.446  000.080  000.080: require('cmp.utils.api')
049.451  000.457  000.178: require('cmp.utils.keymap')
049.455  000.540  000.083: require('cmp.utils.feedkeys')
049.559  000.104  000.104: require('cmp.utils.async')
049.750  000.054  000.054: require('cmp.types.cmp')
